T/1	CR/1	CS/2		US/1	Cortex/2		Thalamus/2		Hippocampus.BindDelta/4				Hippocampus.Context/4				V/3			W/2		
105	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.931	0.914	0.000	0.547	0.683	
106	0.231	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.931	0.914	0.000	0.547	0.683	
107	0.000	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.931	0.914	0.000	0.547	0.683	
108	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.931	0.931	0.000	0.547	0.547	
109	0.231	0.000	0.000	0.000	1.000	1.000	0.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.931	0.931	0.000	0.547	0.547	
110	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.931	0.931	0.000	0.547	0.547	
111	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.931	0.931	0.000	0.701	0.701	
112	0.769	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.931	0.931	0.000	0.701	0.701	
113	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.931	0.931	0.000	0.701	0.701	
114	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.945	0.931	0.000	0.560	0.701	
115	0.231	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.945	0.931	0.000	0.560	0.701	
116	0.000	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.945	0.931	0.000	0.560	0.701	
117	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.945	0.945	0.000	0.560	0.560	
118	0.231	0.000	0.000	0.000	1.000	1.000	0.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.945	0.945	0.000	0.560	0.560	
119	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.945	0.945	0.000	0.560	0.560	
120	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.945	0.945	0.000	0.714	0.714	
121	0.769	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.945	0.945	0.000	0.714	0.714	
122	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.945	0.945	0.000	0.714	0.714	
123	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.956	0.945	0.000	0.571	0.714	
124	0.231	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.956	0.945	0.000	0.571	0.714	
125	0.000	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.956	0.945	0.000	0.571	0.714	
126	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.956	0.956	0.000	0.571	0.571	
