sep=;
T/1;CR/1;CS/2;;US/1;Cortex/2;;Thalamus/2;;Hippocampus.BindDelta/4;;;;Hippocampus.Context/4;;;;V/3;;;W/2;;
123;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.486;0.486;0.000;0.227;0.227;
124;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.486;0.486;0.000;0.278;0.227;
125;0.259;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.486;0.486;0.000;0.278;0.227;
126;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.486;0.486;0.000;0.278;0.227;
127;0.000;0.000;0.000;1.000;0.000;0.000;1.000;1.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;0.000;0.486;0.486;0.000;0.278;0.278;
128;0.259;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;0.000;0.486;0.486;0.000;0.278;0.278;
129;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;0.000;0.486;0.486;0.000;0.278;0.278;
130;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;0.000;0.492;0.492;0.000;0.167;0.167;
131;0.415;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.492;0.492;0.000;0.167;0.167;
132;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.492;0.492;0.000;0.167;0.167;
133;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.492;0.492;0.000;0.167;0.167;
134;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;0.000;0.492;0.492;0.000;0.232;0.167;
135;0.325;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;0.000;0.492;0.492;0.000;0.232;0.167;
136;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;0.000;0.492;0.492;0.000;0.232;0.167;
137;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.492;0.492;0.000;0.232;0.232;
138;0.325;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.492;0.492;0.000;0.232;0.232;
139;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.492;0.492;0.000;0.232;0.232;
140;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.492;0.492;0.000;0.284;0.232;
141;0.260;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.492;0.492;0.000;0.284;0.232;
142;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.492;0.492;0.000;0.284;0.232;
143;0.000;0.000;0.000;1.000;0.000;0.000;1.000;1.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;0.000;0.492;0.492;0.000;0.284;0.284;
144;0.260;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;0.000;0.492;0.492;0.000;0.284;0.284;
145;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;0.000;0.492;0.492;0.000;0.284;0.284;
146;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;0.000;0.495;0.495;0.000;0.170;0.170;
147;0.415;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.495;0.495;0.000;0.170;0.170;
148;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.495;0.495;0.000;0.170;0.170;
149;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.495;0.495;0.000;0.170;0.170;
150;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;0.000;0.495;0.495;0.000;0.235;0.170;
151;0.325;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;0.000;0.495;0.495;0.000;0.235;0.170;
152;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;0.000;0.495;0.495;0.000;0.235;0.170;
153;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.495;0.495;0.000;0.235;0.235;
154;0.325;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.495;0.495;0.000;0.235;0.235;
